Title|Author|Summary
The First 90 Days|Michael Watkins|The book walks managers through every aspect of the transition, from mental preparation to forging the right alliances to securing critical early wins. Through vivid examples of success and failure at all levels, the author identifies the most common pitfalls new leaders encounter and provides tools and strategies for how to avoid them
The Five Dysfunctions of a Team|Patrick Lencioni|The book has been engaging audiences with a page-turning, realistic fable that follows the travails of Kathryn Petersen, DecisionTech’s CEO, as she faces the ultimate leadership crisis. She must unite a team in such disarray that it threatens to derail the entire company. Equal parts leadership fable and business handbook, this definitive source on teamwork the five behavioral tendencies that go to the heart of why even the best teams struggle. He offers a powerful model and step-by-step guide for overcoming those dysfunctions and getting every one rowing in the same direction
Start with Why|Simon Sinek|The book shows that the leaders who have had the greatest influence in the world all think, act and communicate the same way—and it's the opposite of what everyone else does
The 7 Habits of Highly Effective People|Stephen Covey|This beloved classic presents a principle-centered approach for solving both personal and professional problems. With penetrating insights and practical anecdotes, the author reveals a step-by-step pathway for living with fairness, integrity, honesty, and human dignity—principles that give us the security to adapt to change and the wisdom and power to take advantage of the opportunities that change creates
Drive|Daniel Pink|Drawing on four decades of scientific research on human motivation, the author exposes the mismatch between what science knows and what business does—and how that affects every aspect of life. He examines the three elements of true motivation—autonomy, mastery, and purpose-and offers smart and surprising techniques for putting these into action in a unique book that will change how we think and transform how we live
Thinking, Fast and Slow|Daniel Kahneman|Engaging the reader in a lively conversation about how we think, the author reveals where we can and cannot trust our intuitions and how we can tap into the benefits of slow thinking. He offers practical and enlightening insights into how choices are made in both our business and our personal lives―and how we can use different techniques to guard against the mental glitches that often get us into trouble
First, Break All the Rules|Marcus Buckingham|The author has found that the front-line manager is the key to attracting and retaining talented employees. This book explains how the best managers select an employee for talent rather than for skills or experience, set expectations, build on each person's unique strengths rather than trying to fix their weaknesses, and get the best performance out of their teams
Tribes|Seth Godin|It's human nature to seek out tribes, be they religious, ethnic, economic, political, or even musical (think of the Deadheads).  Now the Internet has eliminated the barriers of geography, cost, and time. Social media gives anyone who wants to make a difference the tools to do so. With his signature wit and storytelling flair, the author presents the three steps to building a tribe: the desire to change things, the ability to connect a tribe, and the willingness to lead
The 21 Irrefutable Laws of Leadership|John Maxwell|The book  features insights learned from the author’s 30-plus years of leadership successes and mistakes with observations from the worlds of business, politics, sports, religion, and military conflict
Leading Change|John Kotter|The author's now-legendary eight-step process for managing change with positive results has become the foundation for leaders and organizations across the globe. By outlining the process every organization must go through to achieve its goals, and by identifying where and how even top performers derail during the change process
Atomic Habits|James Clear|The book will reshape the way you think about progress and success, and give you the tools and strategies you need to transform your habits - whether you are a team looking to win a championship, an organization hoping to redefine an industry, or simply an individual who wishes to quit smoking, lose weight, reduce stress, or achieve any other goal
Radical Candor|Kim Scott|The book is about caring personally and challenging directly, about soliciting criticism to improve your leadership and also providing guidance that helps others grow. It focuses on praise but doesn't shy away from criticism―to help you love your work and the people you work with
Multipliers|Liz Wiseman|In analyzing data from more than 150 leaders, the author has identified five disciplines that distinguish Multipliers from Diminishers. These five disciplines are not based on innate talent; indeed, they are skills and practices that everyone can learn to use - even lifelong and recalcitrant Diminishers. Lively real-world case studies and practical tips and techniques bring to life each of these principles, showing you how to become a Multiplier, too, whether you are a new or an experienced manager
Turn the Ship Around|David Marquet|Many have applied the author's insights to their own organizations, creating workplaces where everyone takes responsibility for his or her actions, where followers grow to become leaders, and where happier teams drive dramatically better results
Who Moved My Cheese|Spencer Johnson|Exploring a simple way to take the fear and anxiety out of managing the future, the book can help you discover how to anticipate, acknowledge, and accept change in order to have a positive impact on your job, your relationships, and every aspect of your life
It's Your Ship|Michael Abrashoff|When Captain Abrashoff took over as commander of USS Benfold, it was like a business that had all the latest technology but only some of the productivity. Knowing that responsibility for improving performance rested with him, he realized he had to improve his own leadership skills before he could improve his ship. Within months, he created a crew of confident and inspired problem-solvers eager to take the initiative and responsibility for their actions. Soon Benfold was recognized far and wide as a model of naval efficiency
Grit|Angela Duckworth|In Grit, the author takes us into the field to visit cadets struggling through their first days at West Point, teachers working in some of the toughest schools, and young finalists in the National Spelling Bee. She also mines fascinating insights from history and shows what can be gleaned from modern experiments in peak performance. Finally, she shares what she’s learned from interviewing dozens of high achievers—from JP Morgan CEO Jamie Dimon to New Yorker cartoon editor Bob Mankoff to Seattle Seahawks Coach Pete Carroll
Mindset|Carol Dweck|After decades of research, world-renowned Stanford University psychologist Carol Dweck, discovered a simple but groundbreaking idea: the power of mindset. In this brilliant book, she shows how success in school, work, sports, the arts, and almost every area of human endeavor can be dramatically influenced by how we think about our talents and abilities. People with a fixed mindset—those who believe that abilities are fixed—are less likely to flourish than those with a growth mindset—those who believe that abilities can be developed. Mindset reveals how great parents, teachers, managers, and athletes can put this idea to use to foster outstanding accomplishment
What Got You Here Won't Get You There|Marshall Goldsmith|Your hard work is paying off. You are doing well in your field. But there is something standing between you and the next level of achievement. Perhaps one small flaw–a behavior you barely even recognize–is the only thing that’s keeping you from where you want to be. The author addresses the fundamental problems that often come with success–and offers ways to attack these problems. Goldsmith outlines twenty habits commonly found in the corporate environment and provides a systematic approach to helping you achieve a positive change in behavior
Never Split the Difference|Chris Voss|The book takes you inside the world of high-stakes negotiations and into the authors head, revealing the skills that helped him and his colleagues succeed where it mattered most: in saving lives. In this practical guide, he shares the nine effective principles - counterintuitive tactics and strategies - you, too, can use to become more persuasive in both your professional and personal lives. Life is a series of negotiations you should be prepared for: buying a car, negotiating a salary, buying a home, renegotiating rent, deliberating with your partner. Taking emotional intelligence and intuition to the next level, Never Split the Difference gives you the competitive edge in any discussion
